test_num,num_features,scaled,accuracy,train_t,test_t,,,num_features,scaled,average_acc,average_train,average_test
1,10,false,0.647,522.193,1.943,,,10,FALSE,64.78,421.7352,1.7914
1,10,true,0.649,519.535,2.02,,,10,TRUE,64.84,431.304,1.757
1,7,false,0.556,502.899,2.145,,,7,FALSE,55.5,371.1734,1.7902
1,7,true,0.556,496.741,2.17,,,7,TRUE,55.44,362.3748,1.7584
1,4,false,0.487,302.698,2.88,,,4,FALSE,48.76,220.2842,2.0654
1,4,true,0.487,296.409,2.389,,,4,TRUE,48.8,213.89,1.848
1,1,false,0.348,82.327,2.492,,,1,FALSE,34.8,73.036,2.0462
1,1,true,0.348,93.072,2.456,,,1,TRUE,34.8,77.7592,2.1518
2,10,false,0.648,498.587,2.05,,,,,,,
2,10,true,0.649,516.541,1.947,,,,,,,
2,7,false,0.555,336.062,1.676,,,,,,,
2,7,true,0.552,329.016,1.605,,,,,,,
2,4,false,0.488,191.464,1.721,,,,,,,
2,4,true,0.49,191.18,1.757,,,,,,,
2,1,false,0.348,69.75,1.863,,,,,,,
2,1,true,0.348,68.903,1.847,,,,,,,
3,10,false,0.646,353.891,1.467,,,,,,,
3,10,true,0.65,352.105,1.435,,,,,,,
3,7,false,0.557,336.278,1.572,,,,,,,
3,7,true,0.554,330.13,1.848,,,,,,,
3,4,false,0.487,202.851,1.88,,,,,,,
3,4,true,0.487,198.282,1.717,,,,,,,
3,1,false,0.348,73.575,2.03,,,,,,,
3,1,true,0.348,85.946,2.594,,,,,,,
4,10,false,0.65,388.262,2.033,,,,,,,
4,10,true,0.648,416.605,1.862,,,,,,,
4,7,false,0.553,345.345,1.902,,,,,,,
4,7,true,0.556,326.799,1.566,,,,,,,
4,4,false,0.489,207.544,2.067,,,,,,,
4,4,true,0.487,193.062,1.739,,,,,,,
4,1,false,0.348,69.45,1.883,,,,,,,
4,1,true,0.348,68.674,1.9,,,,,,,
5,10,false,0.648,345.743,1.464,,,,,,,
5,10,true,0.646,351.734,1.521,,,,,,,
5,7,false,0.554,335.283,1.656,,,,,,,
5,7,true,0.554,329.188,1.603,,,,,,,
5,4,false,0.487,196.864,1.779,,,,,,,
5,4,true,0.489,190.517,1.638,,,,,,,
5,1,false,0.348,70.078,1.963,,,,,,,
5,1,true,0.348,72.201,1.962,,,,,,,
